%time CLK vector_0_5 outpu_analog_source
0.000163 1 4.2713871585 0
0.000164 1 4.28763328097 0
0.000165 1 4.30371013502 0
0.000166 1 4.31961708596 0
0.000167 1 4.33535350582 0
0.000168 1 4.35091877335 0
0.000169 1 4.36631227405 0
0.00017 1 4.38153340022 0
0.000171 1 4.39658155095 0
0.000172 1 4.41145613217 0
0.000173 1 4.42615655666 0
0.000174 1 4.44068224407 0
0.000175 1 4.45503262094 0
0.000176 1 4.46920712076 0
0.000177 1 4.48320518393 0
0.000178 1 4.49702625783 0
0.000179 1 4.51066979684 0
0.00018 1 4.52413526233 0
0.000181 1 4.53742212271 0
0.000182 1 4.55052985342 0
0.000183 1 4.56345793702 0
0.000184 1 4.5762058631 0
0.000185 1 4.58877312842 0
0.000186 1 4.60115923683 0
0.000187 1 4.61336369935 0
0.000188 1 4.62538603417 0
0.000189 1 4.63722576667 0
0.00019 1 4.64888242944 0
0.000191 1 4.66035556229 0
0.000192 1 4.67164471228 0
0.000193 1 4.68274943374 0
0.000194 1 4.69366928827 0
0.000195 1 4.70440384477 0
0.000196 1 4.71495267946 0
0.000197 1 4.7253153759 0
0.000198 1 4.73549152497 0
0.000199 1 4.74548072495 0
0.0002 1 4.75528258148 0
0.000201 1 4.76489670759 0
0.000202 1 4.77432272373 0
0.000203 1 4.78356025779 0
0.000204 1 4.79260894509 0
0.000205 1 4.80146842838 0
0.000206 1 4.81013835793 0
0.000207 1 4.81861839145 0
0.000208 1 4.82690819417 0
0.000209 1 4.83500743881 0
0.00021 1 4.84291580564 0
0.000211 1 4.85063298245 0
0.000212 1 4.85815866457 0
0.000213 1 4.86549255491 0
0.000214 1 4.87263436393 0
0.000215 1 4.87958380969 0
0.000216 1 4.88634061784 0
0.000217 1 4.89290452163 0
0.000218 1 4.89927526192 0
0.000219 1 4.90545258722 0
0.00022 1 4.91143625364 0
0.000221 1 4.91722602498 0
0.000222 1 4.92282167265 0
0.000223 1 4.92822297574 0
0.000224 1 4.93342972104 0
0.000225 1 4.93844170298 0
0.000226 1 4.94325872369 0
0.000227 1 4.94788059301 0
0.000228 1 4.95230712848 0
0.000229 1 4.95653815535 0
0.00023 1 4.96057350657 0
0.000231 1 4.96441302285 0
0.000232 1 4.9680565526 0
0.000233 1 4.97150395198 0
0.000234 1 4.97475508491 0
0.000235 1 4.97780982302 0
0.000236 1 4.98066804572 0
0.000237 1 4.98332964017 0
0.000238 1 4.9857945013 0
0.000239 1 4.98806253181 0
0.00024 1 4.99013364214 0
0.000241 1 4.99200775054 0
0.000242 1 4.99368478303 0
0.000243 1 4.99516467339 0
0.000244 1 4.9964473632 0
0.000245 1 4.99753280183 0
0.000246 1 4.99842094642 0
0.000247 1 4.9991117619 0
0.000248 1 4.99960522102 0
0.000249 1 4.99990130428 0
0.00025 1 5 0
0.000251 1 4.99990130428 0
0.000252 1 4.99960522102 0
0.000253 1 4.9991117619 0
0.000254 1 4.99842094642 0
0.000255 1 4.99753280183 0
0.000256 1 4.9964473632 0
0.000257 1 4.99516467339 0
0.000258 1 4.99368478303 0
0.000259 1 4.99200775054 0
0.00026 1 4.99013364214 0
0.000261 1 4.98806253181 0
0.000262 1 4.9857945013 0
0.000263 1 4.98332964017 0
0.000264 1 4.98066804572 0
0.000265 1 4.97780982302 0
0.000266 1 4.97475508491 0
0.000267 1 4.97150395198 0
0.000268 1 4.9680565526 0
0.000269 1 4.96441302285 0
0.00027 1 4.96057350657 0
0.000271 1 4.95653815535 0
0.000272 1 4.95230712848 0
